,Username,Comment
0,MrHalfDoom,No one gonna comment about Bart and Taika?
1,Tracy Do,Loll this happened to me and my husband the other day 
2,Yvelle Sotome,NATALIE WHAT !!! Global pandemic really brings people back together
3,bryanchandaman,Whaaat!!! That moment when Nat turned around! Hahaha! What a cool flex video lol
4,Evie Xiong,Bart and geos was my favorite lol
5,lookslikeajester,NATALIE OMG. NAT'S BACK (sorta)!!!!!!!!
6,V Batucan,"@communitychannel Nat not cool, a global pandemic is what it takes to see you on youtube again? lol Hope this isn't just a tease and i get to watch new funny content from you #straya"
7,Binh TC Nguyen,Taipeibooty69@hotmail.com
8,Francisco Aguilera,Nat!! YEESSSS
9,MrAB2357,"When we needed her most.. Natalie returned to do a cameo in other people's videos.
Thanks so much Nat <3"
10,ajatil13,this was amazing  thank youuuu
11,anhihilation,COMMUNITY CHANNEL? NAT. NAT IS IN THIS.
12,vuyokazi sodinga,OMW BART IN THE BACKGROUND 
13,Neil Patrick Alvarez,"Owner
Parasite1
Parasite2
Parasite3
Parasite4

"
14,ForMyFandersons,The email address is what got me jumping at the Thumbs Up
15,V L,Love this!
16,Jordan B,Change the password.
17,Laura K.,Of course Natalie would be behind such a mildly inconvenient evil genius plan lol Now Im wondering how many people have my Netflix login info...
18,Angelica Starina,Just...change the password
19,Chris Designer,"Gio looks Asian.
You wouldn't believe that she's 100% Mexican!"
20,Shocker 2.0,Just change the password
21,lYdiA cHuNg,omg this is so good HAHAHAA
22,Adam Thapazz,This is hilarious 
23,hannah g,"Wait, I thought Netflix max out when theres more than 2 ppl, so how do all of those people with the login watch when they want to???"
24,Hung Lam,"That Ana girl if 1 fine #FireyWifey!;)
#54 #100Humans #SideBurnsGuy #hELLAHUNG"
25,Bee Min,Yay!! Weylie and Nat!!
26,Jenny Lin,OMFG TAIKAAAAA I CAME FOR THIS AND IT WAS WORTH ITTTTTT
27,Jim Le,THIS IS AN ASIAN DREAM TEAM CAST
28,HotFriesMmm,"When Natalie appeared I exploded. Get her to collab more, so we know she's ok ;3"
29,Ally Y,NAAAAAAAAAAAAAAAAAAAAAAT <3
30,Tony Ecin,That blooper with Bart in the baby diaper with the basketball... LMFAO!!
31,Tina Ba,YOU GOT NATALIE TRAN?!?!
32,Sabin Bajracharya,I don't know man but Rick and Morty is available on my Netflix.
